Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
297,"Norte 164 número 503, pensador Mexicano, 15510, -","Norte 164 número 503, pensador Mexicano, 15510",PENSADOR MEXICANO,-,-
298,"Calle 5 # 216 colonia las águilas nezahualcoyolt Estado de México cp 57900, -",Calle 5 # 216 colonia las águilas nezahualcoyolt Estado de México cp 57900,LAS AGUILAS NEZAHUAALCOYOTL,-,-
299,"Jalapa 51 Colonia Roma, CDMX, 06700, -","Jalapa 51 Colonia Roma, CDMX, 06700",Roma Norte,-,-
300,"Motolinia 11 centro CDMX 06000, -",Motolinia 11 centro CDMX 06000,Centro,-,-
301,"Insurgentes Sur 488, Roma Sur, Cdmx, 06760, -","Insurgentes Sur 488, Roma Sur, Cdmx, 06760",ROMA SUR,-,-
302,"Río Panuco 146, Cuauhtémoc, Cuauhtémoc 06500, -","Río Panuco 146, Cuauhtémoc, Cuauhtémoc 06500",CUAUHTEMOC,-,-
303,"Carretera a san pablo #155, Santiago tepalcatlalpan. CP 16200, -","Carretera a san pablo #155, Santiago tepalcatlalpan. CP 16200",SANTIAGO TEPALCATLALPAN,-,-
304,"Calle 10, #21, san pedro de los pinos, ciudad de mexico, 01180, -","Calle 10, #21, san pedro de los pinos, ciudad de mexico, 01180",San Pedro de los Pinos,-,-
305,"Mitla 142, Col Narvarte, Mexico, D.F., C.P, 03020, Del. Benito Juarez, -","Mitla 142, Col Narvarte, Mexico, D.F., C.P, 03020, Del. Benito Juarez",Narvarte,-,-
306,"Rochester 73 -3 col Nápoles 03810, -",Rochester 73 -3 col Nápoles 03810,Napoles,-,-
307,"Louisiana 139, -",Louisiana 139,Napoles,-,-
308,"SAN FRANCISCO 340 DEPTO 202 COLONIA DEL VALLE, CP 03100 BENITO JUÁREZ CDMX MEXICO, -","SAN FRANCISCO 340 DEPTO 202 COLONIA DEL VALLE, CP 03100 BENITO JUÁREZ CDMX MEXICO",Del Valle,-,-
309,"Retorno pergoleros 166 depto. 704 San pedro mártir, tlalpan isssfam CD mx 14620, -","Retorno pergoleros 166 depto. 704 San pedro mártir, tlalpan isssfam CD mx 14620",SAN PEDRO MÁRTIR,-,-
310,"Citlaltepetl 54, Col. Hipódromo, CP 06400, Delegación Cuauhtémoc, Ciudad de México, -","Citlaltepetl 54, Col. Hipódromo, CP 06400, Delegación Cuauhtémoc, Ciudad de México",HIPÓDROMO,-,-
312,"Candelilla 32, rinconada las hadas, Tlalpan 14390, -","Candelilla 32, rinconada las hadas, Tlalpan 14390",RINCONADA DE LAS HADAS,-,-
313,"AV CUAUHTEMOC 1475 COL SANTA CRUZ ATOYAC BENITO JUAREZ 03310, -",AV CUAUHTEMOC 1475 COL SANTA CRUZ ATOYAC BENITO JUAREZ 03310,Santa Cruz Atoyac,-,-
314,"Sinaloa 192 int 205 col roma norte (NO NOS RECIBEN), -",Sinaloa 192 int 205 col roma norte (NO NOS RECIBEN),-,-,-
316,"Camino al Desierto de los Leones 5,760 Colonia Olivar de los Padres, Alvaro Obergón, CP 01780, CDMX, -","Camino al Desierto de los Leones 5,760 Colonia Olivar de los Padres, Alvaro Obergón, CP 01780, CDMX",OLIVAR DE LOS PADRES,-,-
317,"Comunal 30-1 Acacias Benito Juárez 03240, -",Comunal 30-1 Acacias Benito Juárez 03240,ACACIAS,-,-
318,"Pino suarez 117 col. Revolucion cuautla morelos 62748, -",Pino suarez 117 col. Revolucion cuautla morelos 62748,REVOLUCION CUAUTLA,-,-
319,"melchor ocampo 436, col. Cuauhtemoc, CDMX, 06500, -","melchor ocampo 436, col. Cuauhtemoc, CDMX, 06500",CUAUHTEMOC,-,-
320,"Camino al Meztlitla, s/n Valle de Atongo, C.P. 62527 Tepoztlan Morelos., -","Camino al Meztlitla, s/n Valle de Atongo, C.P. 62527 Tepoztlan Morelos.",VALLE DE ATONGO TEPOZTLAN,-,-
321,"5 Sur 4922. Residencial Boulevares. Puebla. 72440, -",5 Sur 4922. Residencial Boulevares. Puebla. 72440,RESIDENCIAL BOULEVARES PUEBLA,-,-
322,"Anaxagoras 21 Narvarte Poniente Ciudad de México 03020, -",Anaxagoras 21 Narvarte Poniente Ciudad de México 03020,NARVARTE PONIENTE,-,-
